# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR
0 0.793208 0.701356 1.283891 183 183 145 0
1 1.003037 0.714009 1.303061 91 90 46 0
2 0.627463 0.734364 1.303933 194 193 165 0
3 0.952566 0.692791 1.297859 220 217 186 0
4 0.874918 0.675746 1.284257 216 215 184 0
5 0.796058 0.711691 1.287838 192 190 151 0
6 0.927732 0.701827 1.309745 215 213 198 0
7 0.627463 0.734364 1.303933 196 192 43 0
8 1.003037 0.714009 1.303061 90 87 52 0
9 1.039347 0.684591 1.323495 165 164 136 0
10 0.793208 0.701356 1.283891 174 171 126 0
11 0.914513 0.664462 1.260625 191 190 160 0
12 -1.654637 0.536509 0.321478 223 224 219 0
13 -1.656023 0.528265 0.326872 223 224 219 0
14 -1.555892 0.554877 0.346661 234 233 238 0
15 -1.512097 0.575494 0.344613 240 239 244 0
16 -1.555892 0.554877 0.346661 236 235 240 0
17 -1.459657 0.570527 0.363653 241 240 245 0
18 -1.512097 0.575494 0.344613 235 233 234 0
19 -1.654637 0.536509 0.321478 215 215 205 0
20 -1.555892 0.554877 0.346661 236 236 238 0
21 -1.656023 0.528265 0.326872 219 219 209 0
22 -1.459657 0.570527 0.363653 192 192 138 0
23 -1.555892 0.554877 0.346661 234 236 233 0
24 -1.624801 0.568906 0.305514 230 233 214 0
25 -1.469068 0.602367 0.329626 233 230 211 0
26 -1.569190 0.541144 0.301158 226 228 191 0
27 1.144191 4.358668 -1.496691 69 64 0 0
28 1.181182 4.259531 -1.459762 73 64 0 0
29 1.155824 4.300277 -1.433603 66 62 0 0
30 1.859751 4.412519 1.374244 118 117 35 0
31 1.904958 4.428318 1.410476 123 123 53 0
32 1.892951 4.499901 1.465940 155 150 58 0
33 1.856815 4.569664 1.495410 109 106 29 0
34 1.859751 4.412519 1.374244 124 121 50 0
35 1.892951 4.499901 1.465940 121 118 51 0
36 1.904958 4.428318 1.410476 124 122 61 0
37 1.945852 4.514096 1.512210 122 120 59 0
38 1.892951 4.499901 1.465940 121 120 55 0
39 1.807904 4.451061 1.364041 97 93 22 0
40 1.859751 4.412519 1.374244 91 89 28 0
41 1.856815 4.569664 1.495410 96 91 10 0
42 1.962496 4.387276 1.384013 156 155 63 0
43 2.019005 4.568688 1.598329 185 180 80 0
44 1.945852 4.514096 1.512210 132 129 76 0
45 1.945852 4.514096 1.512210 122 120 59 0
46 2.019005 4.568688 1.598329 126 123 68 0
47 1.966669 4.604955 1.609744 118 117 52 0
48 1.904958 4.428318 1.410476 116 115 51 0
49 1.962496 4.387276 1.384013 129 128 72 0
50 1.945852 4.514096 1.512210 121 120 55 0
51 1.856815 4.569664 1.495410 95 92 23 0
52 1.892951 4.499901 1.465940 116 113 42 0
53 1.916565 4.597540 1.562942 98 95 24 0
54 0.317287 0.752733 1.354516 221 222 204 0
55 0.199964 0.758824 1.375726 206 205 184 0
56 0.082929 0.753883 1.409439 208 208 182 0
57 0.082929 0.753883 1.409439 201 201 175 0
58 0.171043 0.746781 1.354726 192 191 163 0
59 0.317287 0.752733 1.354516 209 210 196 0
60 2.109977 4.699787 1.745304 131 131 77 0
61 2.132720 4.572871 1.606877 145 145 109 0
62 2.273482 4.787004 1.816356 118 117 69 0
63 -0.979379 0.444822 1.377286 176 170 92 0
64 -1.473695 0.456176 1.889901 186 182 144 0
65 -1.693318 0.324476 1.591445 183 180 139 0
66 -0.100261 0.750929 1.424436 200 199 134 0
67 0.146244 0.764148 1.248862 197 194 115 0
68 0.171043 0.746781 1.354726 191 190 160 0
69 -0.171705 0.733066 1.490861 212 210 189 0
70 -0.637083 0.686944 1.552476 196 194 156 0
71 -0.100261 0.750929 1.424436 195 194 164 0
72 -0.100261 0.750929 1.424436 194 193 163 0
73 -0.637083 0.686944 1.552476 200 199 171 0
74 0.146244 0.764148 1.248862 187 186 155 0
75 -0.637083 0.686944 1.552476 198 197 166 0
76 -0.979379 0.444822 1.377286 186 180 120 0
77 0.427743 0.642137 0.553326 169 165 127 0
78 0.427743 0.642137 0.553326 165 164 116 0
79 0.644664 0.682212 1.159920 181 180 149 0
80 0.403954 0.701591 1.136863 179 180 146 0
81 -0.637083 0.686944 1.552476 194 193 163 0
82 0.427743 0.642137 0.553326 140 137 84 0
